keys,tr,en,es,pt_BR,de,fr
"Ayna Anahtar","Ayna Anahtar","Mirror Key","Llave Espejo","Chave Espelho","Spiegel Schlüssel","Clé Miroir"
"Ayna Üçlü","Ayna Üçlü","Mirror Triple","Triple Espejo","Triplo Espelho","Spiegel Dreifach","Triple Miroir"
"Açık Hat","Açık Hat","Open Line","Línea Abierta","Linha Aberta","Offen Linie","Ligne Ouverte"
"Açık Kenar","Açık Kenar","Open Edge","Borde Abierto","Borda Aberta","Offen Rand","Bord Ouvert"
"Açıyı kur; duvarlar yolun devamı.","Açıyı kur; duvarlar yolun devamı.","Set the angle; the walls carry the rest.","Ajusta el ángulo; las paredes completan el recorrido.","Ajuste o ângulo; as paredes completam o percurso.","Stelle den Winkel ein; die Wände übernehmen den Rest.","Réglez l'angle ; les murs feront le reste."
"Bombaya temas atisi aninda bitirir.","Bombaya temas atisi aninda bitirir.","Touching a mine ends the shot instantly.","Tocar una mina termina el tiro al instante.","Tocar em uma mina encerra o lançamento na hora.","Das Berühren einer Mine beendet den Schuss sofort.","Toucher une mine met immédiatement fin au tir."
"Dar Geçit","Dar Geçit","Narrow Pass","Paso Estrecho","Passagem Estreito","Eng Pass","Passage Étroit"
"Dar pencere için güç ve açıyı birlikte ayarla.","Dar pencere için güç ve açıyı birlikte ayarla.","Tune power and angle together for the narrow window.","Ajusta la potencia y el ángulo para atravesar la abertura estrecha.","Ajuste a força e o ângulo para atravessar a abertura estreita.","Stimme Kraft und Winkel auf die schmale Öffnung ab.","Ajustez la puissance et l'angle pour franchir l'ouverture étroite."
"Darboğaz","Darboğaz","Bottleneck","Cuello de botella","Gargalo","Engpass","Goulot"
"Doğrudan yol kapalı. Kenarı kullan.","Doğrudan yol kapalı. Kenarı kullan.","The direct path is blocked. Use the edge.","El camino directo está bloqueado. Usa el borde.","O caminho direto está bloqueado. Use a borda.","Der direkte Weg ist blockiert. Nutze den Rand.","Le chemin direct est bloqué. Utilisez le bord."
"Duvar Yardımı","Duvar Yardımı","Wall Assist","Ayuda Muro","Auxílio Parede","Wand Hilfe","Aide Mur"
"Dönen Çark","Dönen Çark","Spinning Wheel","Rueda Giratoria","Roda Giratória","Drehend Rad","Roue Tournante"
"Faz 101","Faz 101","Phase 101","Fase 101","Fase 101","Phase 101","Phase 101"
"Faz 102","Faz 102","Phase 102","Fase 102","Fase 102","Phase 102","Phase 102"
"Faz 103","Faz 103","Phase 103","Fase 103","Fase 103","Phase 103","Phase 103"
"Faz 104","Faz 104","Phase 104","Fase 104","Fase 104","Phase 104","Phase 104"
"Faz 105","Faz 105","Phase 105","Fase 105","Fase 105","Phase 105","Phase 105"
"Faz 106","Faz 106","Phase 106","Fase 106","Fase 106","Phase 106","Phase 106"
"Faz 107","Faz 107","Phase 107","Fase 107","Fase 107","Phase 107","Phase 107"
"Faz 108","Faz 108","Phase 108","Fase 108","Fase 108","Phase 108","Phase 108"
"Faz 109","Faz 109","Phase 109","Fase 109","Fase 109","Phase 109","Phase 109"
"Faz 110","Faz 110","Phase 110","Fase 110","Fase 110","Phase 110","Phase 110"
"Faz 111","Faz 111","Phase 111","Fase 111","Fase 111","Phase 111","Phase 111"
"Faz 112","Faz 112","Phase 112","Fase 112","Fase 112","Phase 112","Phase 112"
"Faz 113","Faz 113","Phase 113","Fase 113","Fase 113","Phase 113","Phase 113"
"Faz 114","Faz 114","Phase 114","Fase 114","Fase 114","Phase 114","Phase 114"
"Faz 115","Faz 115","Phase 115","Fase 115","Fase 115","Phase 115","Phase 115"
"Faz 116","Faz 116","Phase 116","Fase 116","Fase 116","Phase 116","Phase 116"
"Faz 117","Faz 117","Phase 117","Fase 117","Fase 117","Phase 117","Phase 117"
"Faz 118","Faz 118","Phase 118","Fase 118","Fase 118","Phase 118","Phase 118"
"Faz 119","Faz 119","Phase 119","Fase 119","Fase 119","Phase 119","Phase 119"
"Faz 120","Faz 120","Phase 120","Fase 120","Fase 120","Phase 120","Phase 120"
"Faz 121","Faz 121","Phase 121","Fase 121","Fase 121","Phase 121","Phase 121"
"Faz 122","Faz 122","Phase 122","Fase 122","Fase 122","Phase 122","Phase 122"
"Faz 123","Faz 123","Phase 123","Fase 123","Fase 123","Phase 123","Phase 123"
"Faz 124","Faz 124","Phase 124","Fase 124","Fase 124","Phase 124","Phase 124"
"Faz 127","Faz 127","Phase 127","Fase 127","Fase 127","Phase 127","Phase 127"
"Faz 128","Faz 128","Phase 128","Fase 128","Fase 128","Phase 128","Phase 128"
"Faz 129","Faz 129","Phase 129","Fase 129","Fase 129","Phase 129","Phase 129"
"Faz 130","Faz 130","Phase 130","Fase 130","Fase 130","Phase 130","Phase 130"
"Faz 131","Faz 131","Phase 131","Fase 131","Fase 131","Phase 131","Phase 131"
"Faz 132","Faz 132","Phase 132","Fase 132","Fase 132","Phase 132","Phase 132"
"Faz 133","Faz 133","Phase 133","Fase 133","Fase 133","Phase 133","Phase 133"
"Faz 134","Faz 134","Phase 134","Fase 134","Fase 134","Phase 134","Phase 134"
"Faz 135","Faz 135","Phase 135","Fase 135","Fase 135","Phase 135","Phase 135"
"Faz 136","Faz 136","Phase 136","Fase 136","Fase 136","Phase 136","Phase 136"
"Faz 137","Faz 137","Phase 137","Fase 137","Fase 137","Phase 137","Phase 137"
"Faz 138","Faz 138","Phase 138","Fase 138","Fase 138","Phase 138","Phase 138"
"Faz 139","Faz 139","Phase 139","Fase 139","Fase 139","Phase 139","Phase 139"
"Faz 140","Faz 140","Phase 140","Fase 140","Fase 140","Phase 140","Phase 140"
"Faz 141","Faz 141","Phase 141","Fase 141","Fase 141","Phase 141","Phase 141"
"Faz 142","Faz 142","Phase 142","Fase 142","Fase 142","Phase 142","Phase 142"
"Faz 143","Faz 143","Phase 143","Fase 143","Fase 143","Phase 143","Phase 143"
"Faz 144","Faz 144","Phase 144","Fase 144","Fase 144","Phase 144","Phase 144"
"Faz 145","Faz 145","Phase 145","Fase 145","Fase 145","Phase 145","Phase 145"
"Faz 146","Faz 146","Phase 146","Fase 146","Fase 146","Phase 146","Phase 146"
"Faz 147","Faz 147","Phase 147","Fase 147","Fase 147","Phase 147","Phase 147"
"Faz 148","Faz 148","Phase 148","Fase 148","Fase 148","Phase 148","Phase 148"
"Faz 149","Faz 149","Phase 149","Fase 149","Fase 149","Phase 149","Phase 149"
"Faz 52","Faz 52","Phase 52","Fase 52","Fase 52","Phase 52","Phase 52"
"Faz 53","Faz 53","Phase 53","Fase 53","Fase 53","Phase 53","Phase 53"
"Faz 54","Faz 54","Phase 54","Fase 54","Fase 54","Phase 54","Phase 54"
"Faz 55","Faz 55","Phase 55","Fase 55","Fase 55","Phase 55","Phase 55"
"Faz 57","Faz 57","Phase 57","Fase 57","Fase 57","Phase 57","Phase 57"
"Faz 58","Faz 58","Phase 58","Fase 58","Fase 58","Phase 58","Phase 58"
"Faz 59","Faz 59","Phase 59","Fase 59","Fase 59","Phase 59","Phase 59"
"Faz 60","Faz 60","Phase 60","Fase 60","Fase 60","Phase 60","Phase 60"
"Faz 61","Faz 61","Phase 61","Fase 61","Fase 61","Phase 61","Phase 61"
"Faz 62","Faz 62","Phase 62","Fase 62","Fase 62","Phase 62","Phase 62"
"Faz 63","Faz 63","Phase 63","Fase 63","Fase 63","Phase 63","Phase 63"
"Faz 64","Faz 64","Phase 64","Fase 64","Fase 64","Phase 64","Phase 64"
"Faz 65","Faz 65","Phase 65","Fase 65","Fase 65","Phase 65","Phase 65"
"Faz 66","Faz 66","Phase 66","Fase 66","Fase 66","Phase 66","Phase 66"
"Faz 67","Faz 67","Phase 67","Fase 67","Fase 67","Phase 67","Phase 67"
"Faz 68","Faz 68","Phase 68","Fase 68","Fase 68","Phase 68","Phase 68"
"Faz 69","Faz 69","Phase 69","Fase 69","Fase 69","Phase 69","Phase 69"
"Faz 70","Faz 70","Phase 70","Fase 70","Fase 70","Phase 70","Phase 70"
"Faz 71","Faz 71","Phase 71","Fase 71","Fase 71","Phase 71","Phase 71"
"Faz 72","Faz 72","Phase 72","Fase 72","Fase 72","Phase 72","Phase 72"
"Faz 73","Faz 73","Phase 73","Fase 73","Fase 73","Phase 73","Phase 73"
"Faz 74","Faz 74","Phase 74","Fase 74","Fase 74","Phase 74","Phase 74"
"Faz 75","Faz 75","Phase 75","Fase 75","Fase 75","Phase 75","Phase 75"
"Faz 76","Faz 76","Phase 76","Fase 76","Fase 76","Phase 76","Phase 76"
"Faz 77","Faz 77","Phase 77","Fase 77","Fase 77","Phase 77","Phase 77"
