LEVEL 1 robust=689 bounces=0 panels=0 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 2 robust=308 bounces=1 panels=1 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 3 robust=327 bounces=1 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 4 robust=168 bounces=1 panels=1 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 5 robust=157 bounces=1 panels=3 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 6 robust=151 bounces=1 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 7 robust=147 bounces=1 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 8 robust=140 bounces=1 panels=4 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 9 robust=163 bounces=1 panels=1 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 10 robust=141 bounces=1 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 11 robust=116 bounces=1 panels=1 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 12 robust=105 bounces=1 panels=3 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 13 robust=93 bounces=1 panels=1 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 14 robust=99 bounces=2 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 15 robust=27 bounces=3 panels=3 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 16 robust=18 bounces=1 panels=3 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 17 robust=15 bounces=3 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 18 robust=12 bounces=3 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 19 robust=19 bounces=3 panels=3 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 20 robust=0 bounces=9999 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 21 robust=9 bounces=2 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 22 robust=6 bounces=1 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 23 robust=16 bounces=2 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 24 robust=9 bounces=3 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
LEVEL 25 robust=7 bounces=2 panels=2 blocks=0 obstacles=0 kinds=- solvable=true
